Location,Instr_ID,Date_,Dailyflow_
WS77,Weir77,1/2/1982,NULL
WS77,Weir77,1/3/1982,NULL
WS77,Weir77,1/4/1982,NULL
WS77,Weir77,1/5/1982,NULL
WS77,Weir77,1/6/1982,NULL
WS77,Weir77,1/7/1982,NULL
WS77,Weir77,1/8/1982,NULL
WS77,Weir77,1/9/1982,NULL
WS77,Weir77,1/10/1982,NULL
WS77,Weir77,1/11/1982,NULL
WS77,Weir77,1/12/1982,NULL
WS77,Weir77,1/13/1982,NULL
WS77,Weir77,1/14/1982,NULL
WS77,Weir77,1/15/1982,NULL
WS77,Weir77,1/16/1982,NULL
WS77,Weir77,1/17/1982,NULL
WS77,Weir77,1/18/1982,NULL
WS77,Weir77,1/19/1982,NULL
WS77,Weir77,1/20/1982,NULL
WS77,Weir77,1/21/1982,NULL
WS77,Weir77,1/22/1982,NULL
WS77,Weir77,1/23/1982,NULL
WS77,Weir77,1/24/1982,NULL
WS77,Weir77,1/25/1982,NULL
WS77,Weir77,1/26/1982,NULL
WS77,Weir77,1/27/1982,NULL
WS77,Weir77,1/28/1982,NULL
WS77,Weir77,1/29/1982,NULL
WS77,Weir77,1/30/1982,NULL
WS77,Weir77,1/31/1982,NULL
WS77,Weir77,2/1/1982,NULL
WS77,Weir77,2/2/1982,NULL
WS77,Weir77,2/3/1982,NULL
WS77,Weir77,2/4/1982,NULL
WS77,Weir77,2/5/1982,NULL
WS77,Weir77,2/6/1982,NULL
WS77,Weir77,2/7/1982,NULL
WS77,Weir77,2/8/1982,NULL
WS77,Weir77,2/9/1982,NULL
WS77,Weir77,2/10/1982,NULL
WS77,Weir77,2/11/1982,NULL
WS77,Weir77,2/12/1982,NULL
WS77,Weir77,2/13/1982,NULL
WS77,Weir77,2/14/1982,NULL
WS77,Weir77,2/15/1982,NULL
WS77,Weir77,2/16/1982,NULL
WS77,Weir77,2/17/1982,NULL
WS77,Weir77,2/18/1982,NULL
WS77,Weir77,2/19/1982,NULL
WS77,Weir77,2/20/1982,NULL
WS77,Weir77,2/21/1982,NULL
WS77,Weir77,2/22/1982,NULL
WS77,Weir77,2/23/1982,NULL
WS77,Weir77,2/24/1982,NULL
WS77,Weir77,2/25/1982,NULL
WS77,Weir77,2/26/1982,NULL
WS77,Weir77,2/27/1982,NULL
WS77,Weir77,2/28/1982,NULL
WS77,Weir77,3/1/1982,NULL
WS77,Weir77,3/2/1982,NULL
WS77,Weir77,3/3/1982,NULL
WS77,Weir77,3/4/1982,NULL
WS77,Weir77,3/5/1982,NULL
WS77,Weir77,3/6/1982,NULL
WS77,Weir77,3/7/1982,NULL
WS77,Weir77,3/8/1982,NULL
WS77,Weir77,3/9/1982,NULL
WS77,Weir77,3/10/1982,NULL
WS77,Weir77,3/11/1982,NULL
WS77,Weir77,3/12/1982,NULL
WS77,Weir77,3/13/1982,NULL
WS77,Weir77,3/14/1982,NULL
WS77,Weir77,3/15/1982,NULL
WS77,Weir77,3/16/1982,NULL
WS77,Weir77,3/17/1982,NULL
WS77,Weir77,3/18/1982,NULL
WS77,Weir77,3/19/1982,NULL
WS77,Weir77,3/20/1982,NULL
WS77,Weir77,3/21/1982,NULL
WS77,Weir77,3/22/1982,NULL
WS77,Weir77,3/23/1982,NULL
WS77,Weir77,3/24/1982,NULL
WS77,Weir77,3/25/1982,NULL
WS77,Weir77,3/26/1982,NULL
WS77,Weir77,3/27/1982,NULL
WS77,Weir77,3/28/1982,NULL
WS77,Weir77,3/29/1982,NULL
WS77,Weir77,3/30/1982,NULL
WS77,Weir77,3/31/1982,NULL
WS77,Weir77,4/1/1982,NULL
WS77,Weir77,4/2/1982,NULL
WS77,Weir77,4/3/1982,NULL
WS77,Weir77,4/4/1982,NULL
WS77,Weir77,4/5/1982,NULL
WS77,Weir77,4/6/1982,NULL
WS77,Weir77,4/7/1982,NULL
WS77,Weir77,4/8/1982,NULL
WS77,Weir77,4/9/1982,NULL
WS77,Weir77,4/10/1982,NULL
WS77,Weir77,4/11/1982,NULL
WS77,Weir77,4/12/1982,NULL
WS77,Weir77,4/13/1982,NULL
WS77,Weir77,4/14/1982,NULL
WS77,Weir77,4/15/1982,NULL
WS77,Weir77,4/16/1982,NULL
WS77,Weir77,4/17/1982,NULL
WS77,Weir77,4/18/1982,NULL
WS77,Weir77,4/19/1982,NULL
WS77,Weir77,4/20/1982,NULL
WS77,Weir77,4/21/1982,NULL
WS77,Weir77,4/22/1982,NULL
WS77,Weir77,4/23/1982,NULL
WS77,Weir77,4/24/1982,NULL
WS77,Weir77,4/25/1982,NULL
WS77,Weir77,4/26/1982,NULL
WS77,Weir77,4/27/1982,NULL
WS77,Weir77,4/28/1982,NULL
WS77,Weir77,4/29/1982,NULL
WS77,Weir77,4/30/1982,NULL
WS77,Weir77,5/1/1982,NULL
WS77,Weir77,5/2/1982,NULL
WS77,Weir77,5/3/1982,NULL
WS77,Weir77,5/4/1982,NULL
WS77,Weir77,5/5/1982,NULL
WS77,Weir77,5/6/1982,NULL
WS77,Weir77,5/7/1982,NULL
WS77,Weir77,5/8/1982,NULL
WS77,Weir77,5/9/1982,NULL
WS77,Weir77,5/10/1982,NULL
WS77,Weir77,5/11/1982,NULL
WS77,Weir77,5/12/1982,NULL
WS77,Weir77,5/13/1982,NULL
WS77,Weir77,5/14/1982,NULL
WS77,Weir77,5/15/1982,NULL
WS77,Weir77,5/16/1982,NULL
WS77,Weir77,5/17/1982,NULL
WS77,Weir77,5/18/1982,NULL
WS77,Weir77,5/19/1982,NULL
WS77,Weir77,5/20/1982,NULL
WS77,Weir77,5/21/1982,NULL
WS77,Weir77,5/22/1982,NULL
WS77,Weir77,5/23/1982,NULL
WS77,Weir77,5/24/1982,NULL
WS77,Weir77,5/25/1982,NULL
WS77,Weir77,5/26/1982,NULL
WS77,Weir77,5/27/1982,NULL
WS77,Weir77,5/28/1982,NULL
WS77,Weir77,5/29/1982,NULL
WS77,Weir77,5/30/1982,NULL
WS77,Weir77,5/31/1982,NULL
WS77,Weir77,6/1/1982,NULL
WS77,Weir77,6/2/1982,NULL
WS77,Weir77,6/3/1982,NULL
WS77,Weir77,6/4/1982,NULL
WS77,Weir77,6/5/1982,NULL
WS77,Weir77,6/6/1982,NULL
WS77,Weir77,6/7/1982,NULL
WS77,Weir77,6/8/1982,NULL
WS77,Weir77,6/9/1982,NULL
WS77,Weir77,6/10/1982,NULL
WS77,Weir77,6/11/1982,NULL
WS77,Weir77,6/12/1982,NULL
WS77,Weir77,6/13/1982,NULL
WS77,Weir77,6/14/1982,NULL
WS77,Weir77,6/15/1982,NULL
WS77,Weir77,6/16/1982,NULL
WS77,Weir77,6/17/1982,NULL
WS77,Weir77,6/18/1982,NULL
WS77,Weir77,6/19/1982,NULL
WS77,Weir77,6/20/1982,NULL
WS77,Weir77,6/21/1982,NULL
WS77,Weir77,6/22/1982,NULL
WS77,Weir77,6/23/1982,NULL
WS77,Weir77,6/24/1982,NULL
WS77,Weir77,6/25/1982,NULL
WS77,Weir77,6/26/1982,NULL
WS77,Weir77,6/27/1982,NULL
WS77,Weir77,6/28/1982,NULL
WS77,Weir77,6/29/1982,NULL
WS77,Weir77,6/30/1982,NULL
WS77,Weir77,7/1/1982,NULL
WS77,Weir77,7/2/1982,NULL
WS77,Weir77,7/3/1982,NULL
WS77,Weir77,7/4/1982,NULL
WS77,Weir77,7/5/1982,NULL
WS77,Weir77,7/6/1982,NULL
WS77,Weir77,7/7/1982,NULL
WS77,Weir77,7/8/1982,NULL
WS77,Weir77,7/9/1982,NULL
WS77,Weir77,7/10/1982,NULL
WS77,Weir77,7/11/1982,NULL
WS77,Weir77,7/12/1982,NULL
WS77,Weir77,7/13/1982,NULL
WS77,Weir77,7/14/1982,NULL
WS77,Weir77,7/15/1982,NULL
WS77,Weir77,7/16/1982,NULL
WS77,Weir77,7/17/1982,NULL
WS77,Weir77,7/18/1982,NULL
WS77,Weir77,7/19/1982,NULL
WS77,Weir77,7/20/1982,NULL
WS77,Weir77,7/21/1982,NULL
WS77,Weir77,7/22/1982,NULL
WS77,Weir77,7/23/1982,NULL
WS77,Weir77,7/24/1982,NULL
WS77,Weir77,7/25/1982,NULL
WS77,Weir77,7/26/1982,NULL
WS77,Weir77,7/27/1982,NULL
WS77,Weir77,7/28/1982,NULL
WS77,Weir77,7/29/1982,NULL
WS77,Weir77,7/30/1982,NULL
WS77,Weir77,7/31/1982,NULL
WS77,Weir77,8/1/1982,NULL
WS77,Weir77,8/2/1982,NULL
WS77,Weir77,8/3/1982,NULL
WS77,Weir77,8/4/1982,NULL
WS77,Weir77,8/5/1982,NULL
WS77,Weir77,8/6/1982,NULL
WS77,Weir77,8/7/1982,NULL
WS77,Weir77,8/8/1982,NULL
WS77,Weir77,8/9/1982,NULL
WS77,Weir77,8/10/1982,NULL
WS77,Weir77,8/11/1982,NULL
WS77,Weir77,8/12/1982,NULL
WS77,Weir77,8/13/1982,NULL
WS77,Weir77,8/14/1982,NULL
WS77,Weir77,8/15/1982,NULL
WS77,Weir77,8/16/1982,NULL
WS77,Weir77,8/17/1982,NULL
WS77,Weir77,8/18/1982,NULL
WS77,Weir77,8/19/1982,NULL
WS77,Weir77,8/20/1982,NULL
WS77,Weir77,8/21/1982,NULL
WS77,Weir77,8/22/1982,NULL
WS77,Weir77,8/23/1982,NULL
WS77,Weir77,8/24/1982,NULL
WS77,Weir77,8/25/1982,NULL
WS77,Weir77,8/26/1982,NULL
WS77,Weir77,8/27/1982,NULL
WS77,Weir77,8/28/1982,NULL
WS77,Weir77,8/29/1982,NULL
WS77,Weir77,8/30/1982,NULL
WS77,Weir77,8/31/1982,NULL
WS77,Weir77,9/1/1982,NULL
WS77,Weir77,9/2/1982,NULL
WS77,Weir77,9/3/1982,NULL
WS77,Weir77,9/4/1982,NULL
WS77,Weir77,9/5/1982,NULL
WS77,Weir77,9/6/1982,NULL
WS77,Weir77,9/7/1982,NULL
WS77,Weir77,9/8/1982,NULL
WS77,Weir77,9/9/1982,NULL
WS77,Weir77,9/10/1982,NULL
WS77,Weir77,9/11/1982,NULL
WS77,Weir77,9/12/1982,NULL
WS77,Weir77,9/13/1982,NULL
WS77,Weir77,9/14/1982,NULL
WS77,Weir77,9/15/1982,NULL
WS77,Weir77,9/16/1982,NULL
WS77,Weir77,9/17/1982,NULL
WS77,Weir77,9/18/1982,NULL
WS77,Weir77,9/19/1982,NULL
WS77,Weir77,9/20/1982,NULL
WS77,Weir77,9/21/1982,NULL
WS77,Weir77,9/22/1982,NULL
WS77,Weir77,9/23/1982,NULL
WS77,Weir77,9/24/1982,NULL
WS77,Weir77,9/25/1982,NULL
WS77,Weir77,9/26/1982,NULL
WS77,Weir77,9/27/1982,NULL
WS77,Weir77,9/28/1982,NULL
WS77,Weir77,9/29/1982,NULL
WS77,Weir77,9/30/1982,NULL
WS77,Weir77,10/1/1982,NULL
WS77,Weir77,10/2/1982,NULL
WS77,Weir77,10/3/1982,NULL
WS77,Weir77,10/4/1982,NULL
WS77,Weir77,10/5/1982,NULL
WS77,Weir77,10/6/1982,NULL
WS77,Weir77,10/7/1982,NULL
WS77,Weir77,10/8/1982,NULL
WS77,Weir77,10/9/1982,NULL
WS77,Weir77,10/10/1982,NULL
WS77,Weir77,10/11/1982,NULL
WS77,Weir77,10/12/1982,NULL
WS77,Weir77,10/13/1982,NULL
WS77,Weir77,10/14/1982,NULL
WS77,Weir77,10/15/1982,NULL
WS77,Weir77,10/16/1982,NULL
WS77,Weir77,10/17/1982,NULL
WS77,Weir77,10/18/1982,NULL
WS77,Weir77,10/19/1982,NULL
WS77,Weir77,10/20/1982,NULL
WS77,Weir77,10/21/1982,NULL
WS77,Weir77,10/22/1982,NULL
WS77,Weir77,10/23/1982,NULL
WS77,Weir77,10/24/1982,NULL
WS77,Weir77,10/25/1982,NULL
WS77,Weir77,10/26/1982,NULL
WS77,Weir77,10/27/1982,NULL
WS77,Weir77,10/28/1982,NULL
WS77,Weir77,10/29/1982,NULL
WS77,Weir77,10/30/1982,NULL
WS77,Weir77,10/31/1982,NULL
WS77,Weir77,11/1/1982,NULL
WS77,Weir77,11/2/1982,NULL
WS77,Weir77,11/3/1982,NULL
WS77,Weir77,11/4/1982,NULL
WS77,Weir77,11/5/1982,NULL
WS77,Weir77,11/6/1982,NULL
WS77,Weir77,11/7/1982,NULL
WS77,Weir77,11/8/1982,NULL
WS77,Weir77,11/9/1982,NULL
WS77,Weir77,11/10/1982,NULL
WS77,Weir77,11/11/1982,NULL
WS77,Weir77,11/12/1982,NULL
WS77,Weir77,11/13/1982,NULL
WS77,Weir77,11/14/1982,NULL
WS77,Weir77,11/15/1982,NULL
WS77,Weir77,11/16/1982,NULL
WS77,Weir77,11/17/1982,NULL
WS77,Weir77,11/18/1982,NULL
WS77,Weir77,11/19/1982,NULL
WS77,Weir77,11/20/1982,NULL
WS77,Weir77,11/21/1982,NULL
WS77,Weir77,11/22/1982,NULL
WS77,Weir77,11/23/1982,NULL
WS77,Weir77,11/24/1982,NULL
WS77,Weir77,11/25/1982,NULL
WS77,Weir77,11/26/1982,NULL
WS77,Weir77,11/27/1982,NULL
WS77,Weir77,11/28/1982,NULL
WS77,Weir77,11/29/1982,NULL
WS77,Weir77,11/30/1982,NULL
WS77,Weir77,12/1/1982,NULL
WS77,Weir77,12/2/1982,NULL
WS77,Weir77,12/3/1982,NULL
WS77,Weir77,12/4/1982,NULL
WS77,Weir77,12/5/1982,NULL
WS77,Weir77,12/6/1982,NULL
WS77,Weir77,12/7/1982,NULL
WS77,Weir77,12/8/1982,NULL
WS77,Weir77,12/9/1982,NULL
WS77,Weir77,12/10/1982,NULL
WS77,Weir77,12/11/1982,NULL
WS77,Weir77,12/12/1982,NULL
WS77,Weir77,12/13/1982,NULL
WS77,Weir77,12/14/1982,NULL
WS77,Weir77,12/15/1982,NULL
WS77,Weir77,12/16/1982,NULL
WS77,Weir77,12/17/1982,NULL
WS77,Weir77,12/18/1982,NULL
WS77,Weir77,12/19/1982,NULL
WS77,Weir77,12/20/1982,NULL
WS77,Weir77,12/21/1982,NULL
WS77,Weir77,12/22/1982,NULL
WS77,Weir77,12/23/1982,NULL
WS77,Weir77,12/24/1982,NULL
WS77,Weir77,12/25/1982,NULL
WS77,Weir77,12/26/1982,NULL
WS77,Weir77,12/27/1982,NULL
WS77,Weir77,12/28/1982,NULL
WS77,Weir77,12/29/1982,NULL
WS77,Weir77,12/30/1982,NULL
WS77,Weir77,12/31/1982,NULL
WS77,Weir77,1/1/1983,NULL
WS77,Weir77,1/2/1983,NULL
WS77,Weir77,1/3/1983,NULL
WS77,Weir77,1/4/1983,NULL
WS77,Weir77,1/5/1983,NULL
WS77,Weir77,1/6/1983,NULL
WS77,Weir77,1/7/1983,NULL
WS77,Weir77,1/8/1983,NULL
WS77,Weir77,1/9/1983,NULL
WS77,Weir77,1/10/1983,NULL
WS77,Weir77,1/11/1983,NULL
WS77,Weir77,1/12/1983,NULL
WS77,Weir77,1/13/1983,NULL
WS77,Weir77,1/14/1983,NULL
WS77,Weir77,1/15/1983,NULL
WS77,Weir77,1/16/1983,NULL
WS77,Weir77,1/17/1983,NULL
WS77,Weir77,1/18/1983,NULL
WS77,Weir77,1/19/1983,NULL
WS77,Weir77,1/20/1983,NULL
WS77,Weir77,1/21/1983,NULL
WS77,Weir77,1/22/1983,NULL
WS77,Weir77,1/23/1983,NULL
WS77,Weir77,1/24/1983,NULL
WS77,Weir77,1/25/1983,NULL
WS77,Weir77,1/26/1983,NULL
WS77,Weir77,1/27/1983,NULL
WS77,Weir77,1/28/1983,NULL
WS77,Weir77,1/29/1983,NULL
WS77,Weir77,1/30/1983,NULL
WS77,Weir77,1/31/1983,NULL
WS77,Weir77,2/1/1983,NULL
WS77,Weir77,2/2/1983,NULL
WS77,Weir77,2/3/1983,NULL
WS77,Weir77,2/4/1983,NULL
WS77,Weir77,2/5/1983,NULL
WS77,Weir77,2/6/1983,NULL
WS77,Weir77,2/7/1983,NULL
WS77,Weir77,2/8/1983,NULL
WS77,Weir77,2/9/1983,NULL
WS77,Weir77,2/10/1983,NULL
WS77,Weir77,2/11/1983,NULL
WS77,Weir77,2/12/1983,NULL
WS77,Weir77,2/13/1983,NULL
WS77,Weir77,2/14/1983,NULL
WS77,Weir77,2/15/1983,NULL
WS77,Weir77,2/16/1983,NULL
WS77,Weir77,2/17/1983,NULL
WS77,Weir77,2/18/1983,NULL
WS77,Weir77,2/19/1983,NULL
WS77,Weir77,2/20/1983,NULL
WS77,Weir77,2/21/1983,NULL
WS77,Weir77,2/22/1983,NULL
WS77,Weir77,2/23/1983,NULL
WS77,Weir77,2/24/1983,NULL
WS77,Weir77,2/25/1983,NULL
WS77,Weir77,2/26/1983,NULL
WS77,Weir77,2/27/1983,NULL
WS77,Weir77,2/28/1983,NULL
WS77,Weir77,3/1/1983,NULL
WS77,Weir77,3/2/1983,NULL
WS77,Weir77,3/3/1983,NULL
WS77,Weir77,3/4/1983,NULL
WS77,Weir77,3/5/1983,NULL
WS77,Weir77,3/6/1983,NULL
WS77,Weir77,3/7/1983,NULL
WS77,Weir77,3/8/1983,NULL
WS77,Weir77,3/9/1983,NULL
WS77,Weir77,3/10/1983,NULL
WS77,Weir77,3/11/1983,NULL
WS77,Weir77,3/12/1983,NULL
WS77,Weir77,3/13/1983,NULL
WS77,Weir77,3/14/1983,NULL
WS77,Weir77,3/15/1983,NULL
WS77,Weir77,3/16/1983,NULL
WS77,Weir77,3/17/1983,NULL
WS77,Weir77,3/18/1983,NULL
WS77,Weir77,3/19/1983,NULL
WS77,Weir77,3/20/1983,NULL
WS77,Weir77,3/21/1983,NULL
WS77,Weir77,3/22/1983,NULL
WS77,Weir77,3/23/1983,NULL
WS77,Weir77,3/24/1983,NULL
WS77,Weir77,3/25/1983,NULL
WS77,Weir77,3/26/1983,NULL
WS77,Weir77,3/27/1983,NULL
WS77,Weir77,3/28/1983,NULL
WS77,Weir77,3/29/1983,NULL
WS77,Weir77,3/30/1983,NULL
WS77,Weir77,3/31/1983,NULL
WS77,Weir77,4/1/1983,NULL
WS77,Weir77,4/2/1983,NULL
WS77,Weir77,4/3/1983,NULL
WS77,Weir77,4/4/1983,NULL
WS77,Weir77,4/5/1983,NULL
WS77,Weir77,4/6/1983,NULL
WS77,Weir77,4/7/1983,NULL
WS77,Weir77,4/8/1983,NULL
WS77,Weir77,4/9/1983,NULL
WS77,Weir77,4/10/1983,NULL
WS77,Weir77,4/11/1983,NULL
WS77,Weir77,4/12/1983,NULL
WS77,Weir77,4/13/1983,NULL
WS77,Weir77,4/14/1983,NULL
WS77,Weir77,4/15/1983,NULL
WS77,Weir77,4/16/1983,NULL
WS77,Weir77,4/17/1983,NULL
WS77,Weir77,4/18/1983,NULL
WS77,Weir77,4/19/1983,NULL
WS77,Weir77,4/20/1983,NULL
WS77,Weir77,4/21/1983,NULL
WS77,Weir77,4/22/1983,NULL
WS77,Weir77,4/23/1983,NULL
WS77,Weir77,4/24/1983,NULL
WS77,Weir77,4/25/1983,NULL
WS77,Weir77,4/26/1983,NULL
WS77,Weir77,4/27/1983,NULL
WS77,Weir77,4/28/1983,NULL
WS77,Weir77,4/29/1983,NULL
WS77,Weir77,4/30/1983,NULL
WS77,Weir77,5/1/1983,NULL
WS77,Weir77,5/2/1983,NULL
WS77,Weir77,5/3/1983,NULL
WS77,Weir77,5/4/1983,NULL
WS77,Weir77,5/5/1983,NULL
WS77,Weir77,5/6/1983,NULL
WS77,Weir77,5/7/1983,NULL
WS77,Weir77,5/8/1983,NULL
WS77,Weir77,5/9/1983,NULL
WS77,Weir77,5/10/1983,NULL
WS77,Weir77,5/11/1983,NULL
WS77,Weir77,5/12/1983,NULL
WS77,Weir77,5/13/1983,NULL
WS77,Weir77,5/14/1983,NULL
WS77,Weir77,5/15/1983,NULL
WS77,Weir77,5/16/1983,NULL
WS77,Weir77,5/17/1983,NULL
WS77,Weir77,5/18/1983,NULL
WS77,Weir77,5/19/1983,NULL
WS77,Weir77,5/20/1983,NULL
WS77,Weir77,5/21/1983,NULL
WS77,Weir77,5/22/1983,NULL
WS77,Weir77,5/23/1983,NULL
WS77,Weir77,5/24/1983,NULL
WS77,Weir77,5/25/1983,NULL
WS77,Weir77,5/26/1983,NULL
WS77,Weir77,5/27/1983,NULL
WS77,Weir77,5/28/1983,NULL
WS77,Weir77,5/29/1983,NULL
WS77,Weir77,5/30/1983,NULL
WS77,Weir77,5/31/1983,NULL
WS77,Weir77,6/1/1983,NULL
WS77,Weir77,6/2/1983,NULL
WS77,Weir77,6/3/1983,NULL
WS77,Weir77,6/4/1983,NULL
WS77,Weir77,6/5/1983,NULL
WS77,Weir77,6/6/1983,NULL
WS77,Weir77,6/7/1983,NULL
WS77,Weir77,6/8/1983,NULL
WS77,Weir77,6/9/1983,NULL
WS77,Weir77,6/10/1983,NULL
WS77,Weir77,6/11/1983,NULL
WS77,Weir77,6/12/1983,NULL
WS77,Weir77,6/13/1983,NULL
WS77,Weir77,6/14/1983,NULL
WS77,Weir77,6/15/1983,NULL
WS77,Weir77,6/16/1983,NULL
WS77,Weir77,6/17/1983,NULL
WS77,Weir77,6/18/1983,NULL
WS77,Weir77,6/19/1983,NULL
WS77,Weir77,6/20/1983,NULL
WS77,Weir77,6/21/1983,NULL
WS77,Weir77,6/22/1983,NULL
WS77,Weir77,6/23/1983,NULL
WS77,Weir77,6/24/1983,NULL
WS77,Weir77,6/25/1983,NULL
WS77,Weir77,6/26/1983,NULL
WS77,Weir77,6/27/1983,NULL
WS77,Weir77,6/28/1983,NULL
WS77,Weir77,6/29/1983,NULL
WS77,Weir77,6/30/1983,NULL
WS77,Weir77,7/1/1983,NULL
WS77,Weir77,7/2/1983,NULL
WS77,Weir77,7/3/1983,NULL
WS77,Weir77,7/4/1983,NULL
WS77,Weir77,7/5/1983,NULL
WS77,Weir77,7/6/1983,NULL
WS77,Weir77,7/7/1983,NULL
WS77,Weir77,7/8/1983,NULL
WS77,Weir77,7/9/1983,NULL
WS77,Weir77,7/10/1983,NULL
WS77,Weir77,7/11/1983,NULL
WS77,Weir77,7/12/1983,NULL
WS77,Weir77,7/13/1983,NULL
WS77,Weir77,7/14/1983,NULL
WS77,Weir77,7/15/1983,NULL
WS77,Weir77,7/16/1983,NULL
WS77,Weir77,7/17/1983,NULL
WS77,Weir77,7/18/1983,NULL
WS77,Weir77,7/19/1983,NULL
WS77,Weir77,7/20/1983,NULL
WS77,Weir77,7/21/1983,NULL
WS77,Weir77,7/22/1983,NULL
WS77,Weir77,7/23/1983,NULL
WS77,Weir77,7/24/1983,NULL
WS77,Weir77,7/25/1983,NULL
WS77,Weir77,7/26/1983,NULL
WS77,Weir77,7/27/1983,NULL
WS77,Weir77,7/28/1983,NULL
WS77,Weir77,7/29/1983,NULL
WS77,Weir77,7/30/1983,NULL
WS77,Weir77,7/31/1983,NULL
WS77,Weir77,8/1/1983,NULL
WS77,Weir77,8/2/1983,NULL
WS77,Weir77,8/3/1983,NULL
WS77,Weir77,8/4/1983,NULL
WS77,Weir77,8/5/1983,NULL
WS77,Weir77,8/6/1983,NULL
WS77,Weir77,8/7/1983,NULL
WS77,Weir77,8/8/1983,NULL
WS77,Weir77,8/9/1983,NULL
WS77,Weir77,8/10/1983,NULL
WS77,Weir77,8/11/1983,NULL
WS77,Weir77,8/12/1983,NULL
WS77,Weir77,8/13/1983,NULL
WS77,Weir77,8/14/1983,NULL
WS77,Weir77,8/15/1983,NULL
WS77,Weir77,8/16/1983,NULL
WS77,Weir77,8/17/1983,NULL
WS77,Weir77,8/18/1983,NULL
WS77,Weir77,8/19/1983,NULL
WS77,Weir77,8/20/1983,NULL
WS77,Weir77,8/21/1983,NULL
WS77,Weir77,8/22/1983,NULL
WS77,Weir77,8/23/1983,NULL
WS77,Weir77,8/24/1983,NULL
WS77,Weir77,8/25/1983,NULL
WS77,Weir77,8/26/1983,NULL
WS77,Weir77,8/27/1983,NULL
WS77,Weir77,8/28/1983,NULL
WS77,Weir77,8/29/1983,NULL
WS77,Weir77,8/30/1983,NULL
WS77,Weir77,8/31/1983,NULL
WS77,Weir77,9/1/1983,NULL
WS77,Weir77,9/2/1983,NULL
WS77,Weir77,9/3/1983,NULL
WS77,Weir77,9/4/1983,NULL
WS77,Weir77,9/5/1983,NULL
WS77,Weir77,9/6/1983,NULL
WS77,Weir77,9/7/1983,NULL
WS77,Weir77,9/8/1983,NULL
WS77,Weir77,9/9/1983,NULL
WS77,Weir77,9/10/1983,NULL
WS77,Weir77,9/11/1983,NULL
WS77,Weir77,9/12/1983,NULL
WS77,Weir77,9/13/1983,NULL
WS77,Weir77,9/14/1983,NULL
WS77,Weir77,9/15/1983,NULL
WS77,Weir77,9/16/1983,NULL
WS77,Weir77,9/17/1983,NULL
WS77,Weir77,9/18/1983,NULL
WS77,Weir77,9/19/1983,NULL
WS77,Weir77,9/20/1983,NULL
WS77,Weir77,9/21/1983,NULL
WS77,Weir77,9/22/1983,NULL
WS77,Weir77,9/23/1983,NULL
WS77,Weir77,9/24/1983,NULL
WS77,Weir77,9/25/1983,NULL
WS77,Weir77,9/26/1983,NULL
WS77,Weir77,9/27/1983,NULL
WS77,Weir77,9/28/1983,NULL
WS77,Weir77,9/29/1983,NULL
WS77,Weir77,9/30/1983,NULL
WS77,Weir77,10/1/1983,NULL
WS77,Weir77,10/2/1983,NULL
WS77,Weir77,10/3/1983,NULL
WS77,Weir77,10/4/1983,NULL
WS77,Weir77,10/5/1983,NULL
WS77,Weir77,10/6/1983,NULL
WS77,Weir77,10/7/1983,NULL
WS77,Weir77,10/8/1983,NULL
WS77,Weir77,10/9/1983,NULL
WS77,Weir77,10/10/1983,NULL
WS77,Weir77,10/11/1983,NULL
WS77,Weir77,10/12/1983,NULL
WS77,Weir77,10/13/1983,NULL
WS77,Weir77,10/14/1983,NULL
WS77,Weir77,10/15/1983,NULL
WS77,Weir77,10/16/1983,NULL
WS77,Weir77,10/17/1983,NULL
WS77,Weir77,10/18/1983,NULL
WS77,Weir77,10/19/1983,NULL
WS77,Weir77,10/20/1983,NULL
WS77,Weir77,10/21/1983,NULL
WS77,Weir77,10/22/1983,NULL
WS77,Weir77,10/23/1983,NULL
WS77,Weir77,10/24/1983,NULL
WS77,Weir77,10/25/1983,NULL
WS77,Weir77,10/26/1983,NULL
WS77,Weir77,10/27/1983,NULL
WS77,Weir77,10/28/1983,NULL
WS77,Weir77,10/29/1983,NULL
WS77,Weir77,10/30/1983,NULL
WS77,Weir77,10/31/1983,NULL
WS77,Weir77,11/1/1983,NULL
WS77,Weir77,11/2/1983,NULL
WS77,Weir77,11/3/1983,NULL
WS77,Weir77,11/4/1983,NULL
WS77,Weir77,11/5/1983,NULL
WS77,Weir77,11/6/1983,NULL
WS77,Weir77,11/7/1983,NULL
WS77,Weir77,11/8/1983,NULL
WS77,Weir77,11/9/1983,NULL
WS77,Weir77,11/10/1983,NULL
WS77,Weir77,11/11/1983,NULL
WS77,Weir77,11/12/1983,NULL
WS77,Weir77,11/13/1983,NULL
WS77,Weir77,11/14/1983,NULL
WS77,Weir77,11/15/1983,NULL
WS77,Weir77,11/16/1983,NULL
WS77,Weir77,11/17/1983,NULL
WS77,Weir77,11/18/1983,NULL
WS77,Weir77,11/19/1983,NULL
WS77,Weir77,11/20/1983,NULL
WS77,Weir77,11/21/1983,NULL
WS77,Weir77,11/22/1983,NULL
WS77,Weir77,11/23/1983,NULL
WS77,Weir77,11/24/1983,NULL
WS77,Weir77,11/25/1983,NULL
WS77,Weir77,11/26/1983,NULL
WS77,Weir77,11/27/1983,NULL
WS77,Weir77,11/28/1983,NULL
WS77,Weir77,11/29/1983,NULL
WS77,Weir77,11/30/1983,NULL
